"순번","시군구코드","건물군일련번호","도로명코드","도로구간일련번호","기초구간일련번호","건물군명","건물군명영문","입력방법","위도","경도"
"30242","11290","444","4121518","598","6401"," "," "," ","37.6063071","127.0432696"
"30244","11305","641","4124526","3068","14692"," "," ","1","37.6226147","127.0155591"
"30245","11305","1099","4124035","3508","22539"," "," ","1","37.633504","127.0215975"
"30247","11305","479","4124453","2412","11307"," "," ","1","37.6198221","127.0331483"
"30249","11305","1544","3108001","3849","30780","소림정사"," ","1","37.6399705","127.0115175"
"30250","11305","1631","3005038","3851","31133","제일빌딩","Jeil Bldg.","1","37.6481423","127.0158256"
"30252","11305","252","3000004","1295","6072"," "," ","1","37.6353227","127.0298581"
"30254","11305","1885","3005041","3915","33016"," "," ","1","37.6544591","127.0126817"
"30255","11320","692","4127163","1335","17999"," "," ","1","37.6751935","127.0463154"
"30256","11305","1723","3005039","3858","31613"," "," ","1","37.6114321","127.0306836"
"30257","11305","1740","3005039","3858","31690"," "," ","1","37.6249474","127.0263425"
"30259","11320","226","4127273","186","6505","건영캐스빌아파트","Geonnyeongkaeseubil Apts.","1","37.6414111","127.0341848"
"30260","11305","1489","4124122","3811","29958"," "," ","1","37.6296606","127.021542"
"30196","11350","766","3110007","980","15336","노원우체국","nowonucheguk","1","37.6463131","127.0809278"
"30201","11380","815","4133043","1602","14182","보라연립","borayeollip","1","37.6009268","126.906697"
"30205","11230","3846","4115730","3304","30061"," "," "," ","37.5943928","127.0602849"
"30209","11230","2826","4115527","2365","21813"," "," ","1","37.574485","127.0374866"
"30211","11230","1841","4115351","1665","14928"," "," "," ","37.5996921","127.061567"
"30214","11230","1786","4115308","1591","14321"," "," "," ","37.5778969","127.0269543"
"30217","11230","2432","4115475","2140","18559"," "," ","1","37.5872059","127.0409258"
"30579","11260","660","3106003","2638","20363","범용카센터","Beomyong Motors Repair Shop"," ","37.6019928","127.0830437"
"30581","11110","930","4100360","1600","12505"," "," ","1","37.5720981","126.9806851"
"30582","11110","821","4100408","1378","11045"," "," ","1","37.5751516","126.9965351"
"30583","11110","647","4100549","1092","8327"," "," ","1","37.5880472","127.0003685"
"30585","11110","688","4100171","1174","8994","진한쉐르빌"," ","1","37.590371","126.9972233"
"30521","11170","6","4106326","17","134"," "," ","1","37.5382571","126.9962306"
"30522","11170","700","4106272","1436","12247","유림유엔빌리지","yurim UN Village"," ","37.5325106","127.0092926"
"30528","11200","89","4109528","148","2561"," "," "," ","37.5690994","127.0346016"
"30531","11140","447","4103335","1178","10733"," "," ","1","37.5638666","126.9913243"
"30533","11170","1423","4106144","2885","24398","도원동삼성래미안아파트","dowondong Samsungraemian Apartment","1","37.5394709","126.9560939"
"30536","11215","557","4112322","267","9637","금강KCC아파트","Geumgangkcc Apt.","1","37.5376447","127.0743683"
"30539","11230","454","3005033","505","4796"," "," ","1","37.5769643","127.0303243"
"30542","11230","2048","3105015","1830","16310"," "," "," ","37.5869733","127.0457333"
"30545","11230","415","4115112","494","4675","금호주택","Geumho Apt."," ","37.586997","127.0586295"
"30548","11170","1372","3102003","2877","23855"," "," "," ","37.5264499","127.0004241"
"30550","11230","1255","4115241","1185","10838"," "," ","1","37.5822018","127.0367135"
"30553","11140","574","3101011","1475","13361"," "," ","1","37.5646616","127.0145458"
"30554","11230","245","4115090","288","2617","두산아파트","Doosan Apts.","1","37.5693083","127.059272"
"30559","11230","765","3005034","778","7198"," "," ","1","37.5790062","127.0709085"
"29608","11230","3931","4115187","3412","30869"," "," "," ","37.5787029","127.0537545"
"29609","11230","1920","3105016","1727","15435"," "," "," ","37.6000717","127.0576591"
"29610","11230","2856","4115555","2399","22458","답십리근생주택","Dapsimni Neighboring life facility"," ","37.5703576","127.0511992"
"29612","11230","3911","4115034","3374","30616"," "," "," ","37.5802454","127.0401563"
"29613","11320","1121","4127285","176","6147","스카이빌","Sky Vill"," ","37.6512155","127.0226217"
"29615","11320","423","3109001","286","10309"," "," ","1","37.6657369","127.0376314"
"29616","11305","1495","4124064","3814","29987"," "," ","1","37.6144958","127.0311758"
"29553","11290","505","4121470","709","7423"," "," "," ","37.5998641","127.0356345"
"29556","11290","179","4121253","222","2508","한성여자고등학교","Hansung Girls High school","1","37.5828179","127.0118041"
"29559","11290","1226","3005046","1774","18189","성북쓰레기하치장","Seongbuk Garbagehachijang"," ","37.6030218","127.0376367"
"29561","11290","354","4121135","454","4958"," "," "," ","37.5883623","127.0084517"
"29564","11305","1579","3005038","3851","31067","천지빌딩","Cheonji Building","1","37.6402184","127.0270514"
"29568","11230","3387","4115600","2827","26385"," "," ","1","37.5670587","127.0598083"
"29572","11260","240","4118531","347","5322"," "," ","1","37.5892304","127.097665"
"29573","11230","2603","3105011","2217","19251","장안현대홈타운","Jangan Hyundai home town"," ","37.5696853","127.0745814"
"29576","11230","2780","2000008","2339","21473"," "," "," ","37.5616675","127.066356"
"29578","11230","2928","4115514","2491","23236","서울용두초등학교","Yongdu Elementary School","1","37.5757456","127.0289864"
"29582","11140","671","3101021","1514","14712"," "," "," ","37.553871","127.0020732"
"29936","11230","2814","4115519","2352","21658"," "," ","1","37.5770028","127.0320851"
"29937","11230","3006","4115011","2510","23640"," "," "," ","37.5805584","127.0439414"
"29938","11230","1512","3105008","1314","11890"," "," "," ","37.5778233","127.035966"
"29940","11260","283","4118223","428","6467"," "," "," ","37.5820075","127.0930024"
"29941","11230","2212","4115447","2003","17446"," "," "," ","37.5824321","127.0502816"
"29877","11230","3522","4115656","2917","27121"," "," "," ","37.5872051","127.0441667"
"29879","11290","685","4121126","988","10368"," "," "," ","37.6087292","127.0272508"
"29881","11230","3672","3105020","3054","28249","회기동어린이집","Hoegidong Nursery School","1","37.5906821","127.0545576"
"29885","11320","415","3109001","286","10270","대웅아파트","Daeung Apts.","1","37.6599263","127.0356108"
"29888","11320","473","3005039","289","10626","쌍용자동차정비"," ","1","37.6558111","127.03955"
"29891","11305","1925","4124547","1604","7602"," "," "," ","37.6233342","127.0133043"
"29894","11305","939","4124557","3426","20082"," ","new","1","37.6362386","127.0315105"
"29897","11305","1037","4124443","3479","21604","번동주공5단지아파트 508동","Jugong Apt. Complex 5 #508","1","37.6333242","127.0336493"
"29901","11305","1116","4124043","3518","22790","강북전자공단","lndustrial complex/Factory","1","37.6339901","127.0335051"
"29905","11320","76","4127223","75","2197","청호빌라","Cheongho  Villa","1","37.6638727","127.0395595"
"29909","11305","361","4124302","1915","9062"," "," ","1","37.6312612","127.0158135"
"29913","11305","687","3108001","3218","15440"," "," ","1","37.6385536","127.0090394"
"29916","11290","1941","3107008","3762","31547"," "," "," ","37.5941059","126.9957659"
"29919","11305","1052","4124449","3483","21817"," "," ","1","37.6144154","127.0324961"
"29922","11320","719","4127191","1653","19497"," "," ","1","37.6912755","127.0408692"
"30221","11230","3845","4115730","3301","30018"," "," ","1","37.594765","127.0604139"
"30225","11290","1708","4121322","3010","27071","홍익대학교부속중고등학교","Hongik Middle And High School Attached *"," ","37.5946686","127.0034771"
"30229","11260","709","3000001","2639","20685"," "," ","1","37.61356","127.0766321"
"30232","11290","644","4121351","933","9667","삼선교회","Samseon Church"," ","37.5900601","127.0061364"
"30235","11290","590","4121400","833","8672","길음동부센트레빌아파트","Gireum Dongbu Centreville Apts."," ","37.6102657","127.0245567"
"30240","11215","621","4112311","309","10901","광진구치매지원센","Gwangjinguchimaejiwonsen","1","37.540294","127.0650871"
"30243","11290","96","4121346","134","1509","낙원연립","Nagwon Row Houses"," ","37.5966014","126.9925314"
"30246","11305","824","4124250","3352","18139"," "," ","1","37.6223634","127.0189625"
"30248","11320","21","4127076","35","755"," "," ","1","37.6678436","127.0354038"
"30251","11305","1012","4124462","3463","21119"," "," ","1","37.6227945","127.0460676"
"30253","11305","633","4124418","3041","14520"," "," ","1","37.6255908","127.0303973"
"30258","11320","150","4127224","129","4524","쌍문2동어린이집","Ssangmun2(i)-dong Nursery School","1","37.6613993","127.0375203"
"30261","11320","625","4127297","718","14730"," "," ","1","37.6551045","127.0168442"
"30262","11320","645","4127198","922","15836"," "," ","1","37.6881815","127.0440131"
"30562","11200","1321","3103003","2232","23467","현대자동차써비스(주)동부사업소"," ","1","37.5467694","127.0585299"
"30566","11230","1679","4115360","1479","13462"," "," "," ","37.5990105","127.0599854"
"30569","11200","1907","3005024","306","4204"," "," "," ","37.5478072","127.0619683"
"30572","11200","1327","3103003","2232","23431","물류창고"," ","1","37.5403585","127.0559617"
"30575","11230","4008","3105010","3463","31382"," "," ","1","37.5974585","127.0606731"
"30580","11230","2757","4115496","2333","21234"," "," "," ","37.5855646","127.0349819"
"30584","11110","670","4100052","1125","8615"," "," ","1","37.5739756","126.9900145"
"30586","11110","782","4100145","1302","10294"," "," ","1","37.5737239","126.9884226"
"30588","11110","675","4100027","1148","8723"," "," ","1","37.5726552","127.0222594"
"30589","11110","684","4100372","1170","8941"," "," ","1","37.5726654","127.022066"
"30591","11110","629","4100338","1044","7999"," "," ","1","37.5714735","127.006886"
"30592","11110","655","4100309","1103","8430"," "," ","1","37.5684826","126.988943"
"30595","11110","605","4100087","1017","7710"," "," ","1","37.5903637","126.9925172"
"30596","11110","404","4100146","1114","8571"," "," ","1","37.5747004","126.9901904"
"30597","11110","523","4100204","899","6617","왕약국"," ","1","37.57585","127.0218815"
"30598","11110","1172","4100113","1861","14858"," "," ","1","37.5849069","126.9831165"
"30600","11110","695","4100216","1097","8377"," "," ","1","37.5763383","126.9913087"
"30601","11110","728","4100239","1201","9370"," "," ","4","37.5760424","126.9891309"
"30602","11110","769","4100025","1274","10000"," "," ","1","37.576496","127.0082736"
"30604","11110","1136","4100224","1828","14487"," "," ","1","37.57705","126.9803397"
"30606","11140","624","3101011","1507","14020"," "," ","1","37.5645302","127.0077552"
"30607","11140","639","3101011","904","8717"," "," ","1","37.5618287","126.9948878"
"29584","11200","787","4109189","1229","13957","세림아파트"," ","1","37.5647941","127.0450824"
"29590","11260","538","3005032","863","0"," "," ","1","37.5961852","127.0836159"
"29594","11260","310","4118362","472","7667"," "," "," ","37.5813975","127.0847986"
"29597","11290","1807","4121575","3412","29367"," "," "," ","37.6115391","127.0516739"
"29601","11260","327","4118234","480","7945"," "," "," ","37.584575","127.0877004"
